tu_id,va,order,flag,tier,size,file,evidence
tu_000,0x10001510,0,O2,T1,977,,0x10077000 0x10077004
tu_000,0x100018F0,1,O2,T4,399,src/core/drawing/br_chasecam.c,0x10077000 0x10077014 0x10077018 0x1007701C 0x10077020
tu_000,0x10001A80,2,O2,T4,302,src/core/drawing/br_chasecam.c,0x10077000 0x10077004 0x10077024 0x10077028 0x1007702C 0x10077030 0x10077034 0x10077038 0x1007703C
tu_000,0x10001BB0,3,O2,T4,210,src/core/drawing/br_chasecam.c,0x10077000
tu_000,0x10001CF0,4,O2,T2,1567,src/core/drawing/br_chasestep.c,0x10077000 0x10077008 0x1007703C 0x10077040 0x10077044 0x10077048 0x1007704C 0x10077050 0x10077054 0x10077058 0x1007705C 0x10077060 0x10077064 0x10077068 0x1007706C 0x10077070 0x10077074 0x10077078 0x1007707C 0x10077084 0x10077088 0x1007708C 0x10077090 0x10077094
tu_001,0x100023F0,0,O2,T4,106,src/core/racing/br_timefmt.c,0x10077098
tu_002,0x10003120,0,O2,T4,170,src/core/scene/br_grid64.c,0x1007709C 0x100770A0 0x100770A4
tu_003,0x100054A0,0,O2,T4,691,src/core/net/br_netstate.c,0x100770AC
tu_004,0x10005810,0,O2,T1,1070,,0x100770B0
tu_004,0x10005C40,1,O2,T4,47,src/core/net/br_car.c,0x100770A8 0x100770B4
tu_004,0x10005C70,2,O2,T4,47,src/core/net/br_car.c,0x100770B0 0x100770B8
tu_005,0x10005CA0,0,O2,T4,47,src/core/net/br_car.c,0x100770BC 0x100770C0
tu_006,0x10006510,0,O2,T3,1018,src/core/cpp/0x10006510.cpp,0x100770C8
tu_006,0x10006910,1,O2,T4,57,src/core/net/br_fix.c,0x100770CC 0x100770D0
tu_006,0x10006950,2,O2,T4,61,src/core/net/br_fix.c,0x100770D0 0x100770D4
tu_006,0x10006990,3,O2,T4,55,src/core/net/br_fix.c,0x100770D0 0x100770D8
tu_006,0x100069D0,4,O2,T4,59,src/core/net/br_fix.c,0x100770D0 0x100770DC 0x100770E0
tu_006,0x10006A10,5,O2,T4,62,src/core/net/br_fix.c,0x100770CC 0x100770E4 0x100770E8
tu_006,0x10006A50,6,O2,T4,78,src/core/net/br_fix.c,0x100770D0 0x100770EC 0x100770F0 0x100770F8
tu_006,0x10006AA0,7,O2,T4,61,src/core/net/br_fix.c,0x100770D0 0x10077100
tu_006,0x10006AE0,8,O2,T4,61,src/core/net/br_fix.c,0x100770D0 0x10077104
tu_006,0x10006B20,9,O2,T4,61,src/core/net/br_fix.c,0x100770D0 0x10077108
tu_006,0x10006B60,10,O2,T4,57,src/core/net/br_fix.c,0x100770D0 0x1007710C
tu_006,0x10006BA0,11,O2,T2,925,src/core/slice2_12.c,0x100770C8
tu_006,0x10006F40,12,O2,T4,738,src/core/net/br_carpack.c,0x100770C8
tu_006,0x10007230,13,O2,cpp,901,src/core/cpp/0x10007230.cpp,0x100770C8 0x100770CC 0x10077110 0x10077114 0x10077118
tu_006,0x100075C0,14,O2,T4,48,src/core/net/br_fix.c,0x1007711C
tu_006,0x100075F0,15,O2,T4,20,src/core/net/br_fix.c,0x10077120
tu_006,0x10007610,16,O2,T4,24,src/core/net/br_fix.c,0x10077124
tu_006,0x10007630,17,O2,T4,30,src/core/net/br_fix.c,0x100770DC 0x10077128
tu_006,0x10007650,18,O2,T4,44,src/core/net/br_fix.c,0x100770C8 0x1007712C 0x10077130 0x10077134
tu_006,0x10007680,19,O2,T4,33,src/core/net/br_fix.c,0x10077138
tu_006,0x100076B0,20,O2,T4,51,src/core/net/br_fix.c,0x100770D0
tu_006,0x100076F0,21,O2,T4,20,src/core/net/br_fix.c,0x1007713C
tu_006,0x10007710,22,O2,T4,20,src/core/net/br_fix.c,0x10077140
tu_006,0x10007730,23,O2,T4,20,src/core/net/br_fix.c,0x10077144
tu_006,0x10007750,24,O2,T2,845,src/core/slice1_02.c,0x100770C8 0x100770CC
tu_006,0x10007AA0,25,O2,T2,680,src/core/net/br_fix.c,0x100770C8 0x100770CC 0x10077110 0x10077114 0x10077118
tu_006,0x10007D50,26,O2,T3,291,src/core/slice1_02.c,0x100770C8 0x10077118 0x10077148
tu_007,0x1000A110,0,O2,T3,7577,src/core/drawing/br_drawcar.c,0x10077190 0x10077194 0x10077198 0x1007719C 0x100771A0 0x100771A4 0x100771A8 0x100771B4 0x100771B8 0x100771C0 0x100771C8
tu_007,0x1000BEB0,1,O2,T4,1576,src/core/drawing/br_drawcar.c,0x100771A8 0x100771CC 0x100771D0
tu_007,0x1000C4E0,2,O2,cpp,1246,src/core/cpp/0x1000C4E0.cpp,0x100771A4 0x100771A8 0x100771D4 0x100771D8 0x100771DC 0x100771E0
tu_008,0x1000C9E0,0,O2,T1,308,,0x100771E8 0x100771EC 0x100771F0
tu_008,0x1000CBA0,1,O2,T2,4180,src/core/drawing/br_objdl.c,0x100771F0 0x100771F4 0x100771F8 0x100771FC 0x10077200 0x10077204 0x1007720C
tu_008,0x1000DED0,2,O2,T4,14,src/core/drawing/br_polydist.c,0x1007720C
tu_008,0x1000DEF0,3,O2,T4,14,src/core/drawing/br_polydist.c,0x1007720C
tu_008,0x1000DF00,4,O2,T3,347,src/core/slice2_13.c,0x100771F8
tu_008,0x1000E150,5,O2,T1,287,,0x10077210
tu_008,0x1000E320,6,O2,T2,1992,src/core/scene/br_scenevis.c,0x10077214 0x10077218 0x1007721C 0x10077220 0x1007722C 0x10077230
